ndof h rel-L2-err-B
3.680800000000000000e+04 3.006209617829210326e-02 9.504803148542441127e-01
2.890860000000000000e+05 1.512368581818789200e-02 5.307190951108587962e-01
2.296698000000000000e+06 7.579351282834149994e-03 2.294049947187108141e-01
