ndof h rel-L2-err-B rel-H1s-err-B
5.326000000000000000e+03 5.726196923508666131e-02 1.044823272375282164e+00 1.074151926620081410e+00
4.001400000000000000e+04 2.923676682386673609e-02 7.817651074299950542e-01 9.094502183491818270e-01
3.116420000000000000e+05 1.474963723560234440e-02 3.896908297113471642e-01 5.897131921774392271e-01
2.463026000000000000e+06 7.404748877278614395e-03 1.558499964018560113e-01 3.350276556207019141e-01
