ndof h rel-L2-err-B
4.856000000000000000e+03 5.905279266408650779e-02 1.086224620567345811e+00
3.680800000000000000e+04 3.006209617829210326e-02 9.383105038855922286e-01
2.890860000000000000e+05 1.512368581818789200e-02 6.490675497701542396e-01
2.296698000000000000e+06 7.579351282834149994e-03 3.463251409743717257e-01
