ndof h rel-L2-err-B
4.305400000000000000e+04 2.853177766948510746e-02 1.387121675774450225e+00
3.074970000000000000e+05 1.481561574289329275e-02 4.636877536390178745e-01
2.370268000000000000e+06 7.500107971858707007e-03 1.673509883478940807e-01
