ndof h rel-L2-err-B rel-H1s-err-B
3.789500000000000000e+04 2.977186421227480048e-02 7.992312735411235547e-01 1.036751561295636392e+00
3.028850000000000000e+05 1.489043589804543190e-02 4.849024175749031551e-01 6.444776946522834393e-01
2.407474000000000000e+06 7.461270723483457920e-03 1.693026547612515031e-01 2.408593240169100702e-01
