ndof h rel-L2-err-B rel-H1s-err-B
5.261000000000000000e+03 5.749682976367370690e-02 9.789606936571080276e-01 1.135555862096174762e+00
4.023700000000000000e+04 2.918265509568997162e-02 7.280748510375651961e-01 9.942629466686683237e-01
3.126200000000000000e+05 1.473424025316345115e-02 4.442462895451210758e-01 6.960000018450221981e-01
2.469778000000000000e+06 7.397994897091421732e-03 1.757071479092652821e-01 3.593847312443428366e-01
