ndof h rel-L2-err-B
6.180000000000000000e+03 5.449255547217774637e-02 1.030861454657243437e+00
4.648800000000000000e+04 2.781119899331299314e-02 7.506384811540334212e-01
3.623740000000000000e+05 1.402644640771713927e-02 3.649793570113550323e-01
2.865386000000000000e+06 7.040534351319430346e-03 1.463798764715887601e-01
