ndof h rel-L2-err-B rel-H1s-err-B
3.789500000000000000e+04 2.977186421227480048e-02 4.282953668805272174e-01 6.929547775138775734e-01
3.028850000000000000e+05 1.489043589804543190e-02 1.690585969880940564e-01 3.620811183207818251e-01
2.407474000000000000e+06 7.461270723483457920e-03 6.558528744938624255e-02 1.304342701705194230e-01
