ndof h rel-L2-err-B rel-H1s-err-B
4.001400000000000000e+04 2.923676682386673609e-02 3.517350401241634006e-01 5.573310894211018773e-01
3.116420000000000000e+05 1.474963723560234440e-02 3.019529625891194113e-01 3.014292932674221825e-01
2.463026000000000000e+06 7.404748877278614395e-03 7.896463081841297027e-02 1.058589528875919644e-01
