ndof h rel-L2-err-B rel-H1s-err-B
5.261000000000000000e+03 5.749682976367370690e-02 9.198889418247198080e-01 1.546250108622034602e+00
4.023700000000000000e+04 2.918265509568997162e-02 3.009607507819600514e-01 9.072624151950139382e-01
3.126200000000000000e+05 1.473424025316345115e-02 1.213410758176545340e-01 4.940376853932542112e-01
2.469778000000000000e+06 7.397994897091421732e-03 3.989590765942978290e-02 2.250790002876883467e-01
