ndof h rel-L2-err-B rel-H1sem-err-B
1.500000000000000000e+03 2.581988897471611255e-02 6.969680724211099188e-01 1.371941555377102606e+00
5.538000000000000000e+03 1.343765616116941557e-02 4.430226552639290327e-01 1.434343763836389840e+00
2.097000000000000000e+04 6.905589920542014315e-03 5.513091753319748767e-02 3.981843579339672257e-01
8.163000000000000000e+04 3.500056876386365475e-03 8.602131081410509250e-03 1.307436052637366286e-01
3.219540000000000000e+05 1.762394331931252042e-03 1.248179929929793845e-03 2.819792602158541564e-02
1.278798000000000000e+06 8.842987799165623721e-04 3.015679492812940146e-04 7.086460463846963598e-03
