ndof h rel-L2-err-B rel-H1sem-err-B
3.410000000000000000e+03 1.712469363126854424e-02 1.273611195232534410e+00 1.202766995911642267e+00
1.272200000000000000e+04 8.865889300168856846e-03 1.990583428167728430e-01 3.410670750617795233e-01
4.884200000000000000e+04 4.524840555912091125e-03 1.783742525701771664e-02 7.384013951399991116e-02
1.909940000000000000e+05 2.288179750059707480e-03 4.717154842517747720e-03 1.322772883029819067e-02
7.552430000000000000e+05 1.150685513651516102e-03 5.718832915581273857e-04 1.987114916102623776e-03
