ndof h rel-L2-err-B rel-H1s-err-B
5.326000000000000000e+03 5.726196923508666131e-02 6.610428635529241870e-01 9.168219840065907622e-01
4.001400000000000000e+04 2.923676682386673609e-02 2.916891108939241306e-01 6.354201284854602561e-01
3.116420000000000000e+05 1.474963723560234440e-02 1.043901415229993163e-01 3.839315139063687599e-01
2.463026000000000000e+06 7.404748877278614395e-03 4.269214046757420500e-02 2.072357465313516833e-01
