ndof h rel-L2-err-B
2.530000000000000000e+02 1.581101775182460201e-01 7.167380621378033334e-02
1.480000000000000000e+03 8.774979183239392522e-02 6.085667307941473175e-02
9.828000000000000000e+03 4.668509899561126830e-02 2.036435685719104396e-02
7.047900000000000000e+04 2.420918052158495606e-02 7.734970763998220457e-03
5.327610000000000000e+05 1.233547445299022598e-02 2.593234230915877816e-03
