ndof h rel-L2-err-B rel-H1sem-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.605267292625328635e+00 1.329050446871433921e+00
1.522000000000000000e+03 2.563260079255080121e-02 1.114278833459761975e+00 9.180613509757019619e-01
5.646000000000000000e+03 1.330851391722932993e-02 3.012284541790760106e-01 5.101427365062009001e-01
2.165800000000000000e+04 6.795021345064201218e-03 8.511020872341068522e-02 2.531228825312896169e-01
8.478700000000000000e+04 3.434277349405535223e-03 2.631482838165080662e-02 1.296005106911874427e-01
3.354500000000000000e+05 1.726577598662541822e-03 7.935684170396093209e-03 6.545494460780347523e-02
1.334456000000000000e+06 8.656610371708234851e-04 2.414031818092017816e-03 3.294055623705781366e-02
