ndof h rel-L2-err-B rel-H1sem-err-B
4.090000000000000000e+02 4.944681764341487401e-02 5.067634211605723138e+00 3.318447660765738494e+00
1.421000000000000000e+03 2.652790545386455104e-02 2.045665863546953123e+00 1.876783777559413391e+00
5.237000000000000000e+03 1.381843032375835480e-02 2.051652379586584030e-01 4.416702437741244491e-01
2.006600000000000000e+04 7.059429347267390936e-03 6.845682172461299564e-02 2.413060669051545482e-01
7.853700000000000000e+04 3.568312210489230779e-03 5.322167064203638109e-02 1.326997753623660459e-01
3.106660000000000000e+05 1.794126814821948249e-03 4.676648133501688787e-02 8.080546099112834169e-02
1.235731000000000000e+06 8.995763498203129295e-04 4.308820187710669242e-02 5.931653467550037501e-02
