ndof h rel-L2-err-B rel-H1sem-err-B
1.568000000000000000e+03 2.525381361380526699e-02 1.073981159108645445e+00 1.599794428812616909e+00
5.762000000000000000e+03 1.317386998566355029e-02 5.098017761407666049e-01 1.532537300135482949e+00
2.192600000000000000e+04 6.753366125657806439e-03 2.117158114866333485e-01 7.857286481873002604e-01
8.532200000000000000e+04 3.423493333310398054e-03 5.908318863666509047e-02 2.774899065296783651e-01
3.365340000000000000e+05 1.723794641076446116e-03 5.695220027839466813e-03 8.184484600481319039e-02
1.336586000000000000e+06 8.649709980735154980e-04 5.801550016897418297e-04 2.057657595885243468e-02
