ndof h rel-L2-err-B rel-H1sem-err-B
3.188000000000000000e+03 1.771090867439536337e-02 6.208184587809866158e-03 6.776849730308449893e-02
1.176800000000000000e+04 9.218253992060242152e-03 2.130580308553866459e-03 2.060203278919139208e-02
4.494200000000000000e+04 4.717086087988753111e-03 8.986704130063936924e-04 1.030784379014777243e-02
1.756550000000000000e+05 2.385996167639893323e-03 1.115841817529954742e-04 1.589471792821501228e-03
6.946460000000000000e+05 1.199825893898499559e-03 4.241080164501389525e-05 6.331306066778050841e-04
