ndof h rel-L2-err-B rel-H1sem-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.548599006797960476e+00 1.293686791102963918e+00
1.522000000000000000e+03 2.563260079255080121e-02 1.096956318448913947e+00 9.317978846007035632e-01
5.646000000000000000e+03 1.330851391722932993e-02 2.977420684472438794e-01 5.148841121647995678e-01
2.165800000000000000e+04 6.795021345064201218e-03 8.485236954957288413e-02 2.537996225373058135e-01
8.478700000000000000e+04 3.434277349405535223e-03 2.610129536666008082e-02 1.296231875819902346e-01
3.354500000000000000e+05 1.726577598662541822e-03 7.824687550958641866e-03 6.545328848282115641e-02
1.334456000000000000e+06 8.656610371708234851e-04 2.379700107692965874e-03 3.294042280374325643e-02
