ndof h rel-L2-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.624082788824578794e+00
1.522000000000000000e+03 2.563260079255080121e-02 1.116783100749100255e+00
5.646000000000000000e+03 1.330851391722932993e-02 3.017803215645113446e-01
2.165800000000000000e+04 6.795021345064201218e-03 8.091531206870701542e-02
8.478700000000000000e+04 3.434277349405535223e-03 2.527150644932109336e-02
3.354500000000000000e+05 1.726577598662541822e-03 2.339151641942193577e-02
1.334456000000000000e+06 8.656610371708234851e-04 2.766501458928515358e-02
