ndof h rel-L2-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.820660682551701326e+00
1.522000000000000000e+03 2.563260079255080121e-02 1.160303740091783054e+00
5.646000000000000000e+03 1.330851391722932993e-02 8.942713555825074767e-01
2.165800000000000000e+04 6.795021345064201218e-03 2.787749620710581855e+00
8.478700000000000000e+04 3.434277349405535223e-03 7.566141962297725954e+00
3.354500000000000000e+05 1.726577598662541822e-03 1.771055235201138345e+01
1.334456000000000000e+06 8.656610371708234851e-04 3.811261616932277718e+01
