ndof h rel-L2-err-B rel-H1sem-err-B
3.410000000000000000e+03 1.712469363126854424e-02 7.341168772220600935e-01 1.456082094727906062e+00
1.272200000000000000e+04 8.865889300168856846e-03 1.055868894406657987e-01 3.245350442856410056e-01
4.884200000000000000e+04 4.524840555912091125e-03 6.597235585788777633e-03 6.734990446389348129e-02
1.909940000000000000e+05 2.288179750059707480e-03 6.568227865060603061e-04 1.117158693509018134e-02
7.552430000000000000e+05 1.150685513651516102e-03 6.812835409586717945e-05 1.708842277171258948e-03
