ndof h rel-L2-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.794291514067860360e+00
1.522000000000000000e+03 2.563260079255080121e-02 1.183336840741541440e+00
5.646000000000000000e+03 1.330851391722932993e-02 4.204324344793688994e-01
2.165800000000000000e+04 6.795021345064200351e-03 5.615031552647987700e-01
8.478700000000000000e+04 3.434277349405535223e-03 1.502341281360912051e+00
3.354500000000000000e+05 1.726577598662541605e-03 3.496652566839804965e+00
1.334456000000000000e+06 8.656610371708234851e-04 7.625427983212119010e+00
