ndof h rel-L2-err-B rel-H1sem-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.483547408238459875e+00 1.393853359404829462e+00
1.522000000000000000e+03 2.563260079255080121e-02 6.084836768411399088e-01 1.164109764780774547e+00
5.646000000000000000e+03 1.330851391722932993e-02 2.397533839752434837e-01 6.932032169812696321e-01
2.165800000000000000e+04 6.795021345064200351e-03 8.785216879696154668e-02 3.666990262120025657e-01
8.478700000000000000e+04 3.434277349405535223e-03 2.831180515840020853e-02 1.976343496894231444e-01
3.354500000000000000e+05 1.726577598662541605e-03 7.837342960335570360e-03 1.016167952681489295e-01
1.334456000000000000e+06 8.656610371708234851e-04 1.803569062504020281e-03 5.161625783810885881e-02
