ndof h rel-L2-err-B
1.478000000000000000e+03 8.778935441297151809e-02 6.299786025303536485e-01
1.001600000000000000e+04 4.639115956834859861e-02 2.586027630842609518e-02
7.163700000000000000e+04 2.407802549184947030e-02 1.242022894527119309e-02
5.371930000000000000e+05 1.230145696713790156e-02 6.395638249164648913e-04
