ndof h rel-L2-err-B
1.568000000000000000e+03 2.525381361380527045e-02 1.218467065803793714e+00
5.762000000000000000e+03 1.317386998566355029e-02 2.648583756168382264e-01
2.192600000000000000e+04 6.753366125657807306e-03 4.950391845877525482e-02
8.532200000000000000e+04 3.423493333310398054e-03 1.049089194007839058e-02
3.365340000000000000e+05 1.723794641076446116e-03 2.992953376754558126e-03
1.336586000000000000e+06 8.649709980735154980e-04 1.773971979850660951e-03
