ndof h rel-L2-err-B
5.962000000000000000e+03 5.514879269900944264e-02 1.594803965861969930e+00
3.995800000000000000e+04 2.925041861391146705e-02 1.077506117385906625e+00
3.015510000000000000e+05 1.491236101416451576e-02 6.099969195654645349e-01
2.345975000000000000e+06 7.525907452670659720e-03 2.645643078781110824e-01
