ndof h rel-L2-err-B rel-H1sem-err-B
3.260000000000000000e+03 1.751423610260147146e-02 3.635159633016108449e-01 1.241860038397715638e+00
1.224200000000000000e+04 9.038030704736955273e-03 1.052164149808647725e-01 4.824399326230982554e-01
4.673000000000000000e+04 4.625962517180328901e-03 7.879217105913114208e-03 9.969159602958858890e-02
1.827380000000000000e+05 2.339298090369031774e-03 6.981476062851864253e-04 1.323619217749816279e-02
7.225220000000000000e+05 1.176452676981403801e-03 7.689842773818160654e-05 2.301941940929472415e-03
