ndof h rel-L2-err-B
6.037000000000000000e+03 5.491946206948482984e-02 8.268898399943451771e-01
4.327400000000000000e+04 2.848334475058134085e-02 3.794472308754508472e-01
3.280590000000000000e+05 1.449937718727752067e-02 1.484718371873508524e-01
2.546921000000000000e+06 7.322535883240569032e-03 4.616651526887020907e-02
