ndof h rel-L2-err-B rel-H1sem-err-B
4.090000000000000000e+02 4.944681764341487401e-02 3.125218370895121306e-02 1.842280187289798699e-01
1.421000000000000000e+03 2.652790545386455104e-02 1.602108693482371532e-02 1.185164467357389811e-01
5.237000000000000000e+03 1.381843032375835480e-02 1.335064052166614126e-02 1.009309622675590157e-01
2.006600000000000000e+04 7.059429347267390936e-03 1.242527064090558943e-02 9.414850554094628121e-02
7.853700000000000000e+04 3.568312210489230779e-03 1.105991515225231842e-02 8.421046013363557570e-02
3.106660000000000000e+05 1.794126814821948249e-03 8.155650571164433857e-03 6.317622796531394136e-02
1.235731000000000000e+06 8.995763498203129295e-04 4.711798667348314311e-03 3.899376915649272607e-02
