ndof h rel-L2-err-B rel-H1s-err-B
3.789500000000000000e+04 2.977186421227480048e-02 7.441249568521811630e-01 9.359965710073455680e-01
3.028850000000000000e+05 1.489043589804543190e-02 4.348927821674436478e-01 5.706162347936297730e-01
2.407474000000000000e+06 7.461270723483457920e-03 1.682114327339950810e-01 2.297038189187596280e-01
