ndof h rel-L2-err-B rel-H1sem-err-B
1.568000000000000000e+03 2.525381361380527045e-02 1.217880653838879779e+00 1.121682943644687569e+00
5.762000000000000000e+03 1.317386998566355029e-02 2.651899368868061990e-01 5.062305689998771729e-01
2.192600000000000000e+04 6.753366125657807306e-03 5.129923465893493351e-02 1.583315611067098172e-01
8.532200000000000000e+04 3.423493333310398054e-03 1.106733098625020152e-02 5.012492730069462860e-02
3.365340000000000000e+05 1.723794641076446116e-03 1.775190919940890667e-03 1.231539389500744749e-02
1.336586000000000000e+06 8.649709980735154980e-04 4.087546170912380772e-04 3.094188458725031371e-03
