ndof h rel-L2-err-B
4.035600000000000000e+04 2.915394267807066772e-02 8.408213645953305226e-01
3.178060000000000000e+05 1.465365522976501932e-02 5.206702433080934167e-01
2.526586000000000000e+06 7.342128337820747787e-03 1.131557713505029067e-01
