ndof h rel-L2-err-B rel-H1sem-err-B
3.260000000000000000e+03 1.751423610260147146e-02 8.045265536940615636e-01 1.237225040737195858e+00
1.224200000000000000e+04 9.038030704736955273e-03 4.619045318183725990e-01 5.471578196648584358e-01
4.673000000000000000e+04 4.625962517180328901e-03 9.759059272608094915e-02 1.283037724776038835e-01
1.827380000000000000e+05 2.339298090369031774e-03 3.613105022952309286e-02 4.489288143685611632e-02
7.225220000000000000e+05 1.176452676981403801e-03 1.482356886101489878e-02 1.514517168417557971e-02
