ndof h rel-L2-err-B rel-H1sem-err-B
3.200000000000000000e+03 1.767766952966368793e-02 1.650136448584035520e+00 2.468312440655856310e+00
1.183400000000000000e+04 9.192512255178241290e-03 1.316061970927724811e+00 1.296982795802334110e+00
4.523600000000000000e+04 4.701732343299729923e-03 2.446211063505739913e-01 3.184977037745786999e-01
1.768370000000000000e+05 2.378008653698624776e-03 1.471903351476216704e-01 1.936830505717003492e-01
6.993080000000000000e+05 1.195819832146907897e-03 4.785022096986368823e-02 8.086131520239282777e-02
