ndof h rel-L2-err-B
5.270000000000000000e+03 5.746408047060201640e-02 1.090477453539129726e+00
4.035600000000000000e+04 2.915394267807066772e-02 8.505466279513829164e-01
3.178060000000000000e+05 1.465365522976501932e-02 6.789714731521466762e-01
2.526586000000000000e+06 7.342128337820747787e-03 2.926824075943477155e-01
