ndof h rel-L2-err-B rel-H1sem-err-B
1.475000000000000000e+03 2.603778219616477430e-02 7.412205790360786029e-02 1.228773714224004332e-01
5.365000000000000000e+03 1.365259278824230114e-02 2.154685298025311654e-02 3.309197589555734620e-02
2.031500000000000000e+04 7.016032411899479106e-03 3.887557144104472097e-03 8.308915110875727053e-03
7.901100000000000000e+04 3.557592662943439340e-03 1.535529545931281622e-03 2.861080616349279994e-03
3.116390000000000000e+05 1.791323811799439133e-03 8.171367484517275603e-04 1.417739229656562973e-03
1.237659000000000000e+06 8.988754058705747136e-04 4.336600911521941827e-04 7.762725849720334293e-04
