ndof h rel-L2-err-B rel-H1sem-err-B
1.475000000000000000e+03 2.603778219616477430e-02 1.518269759889071674e-02 1.321563958102985881e-01
5.365000000000000000e+03 1.365259278824230114e-02 1.507874646984776060e-03 1.570785907446032095e-02
2.031500000000000000e+04 7.016032411899479106e-03 6.999038372304805652e-04 7.717879422462796055e-03
7.901100000000000000e+04 3.557592662943438906e-03 4.279058595240000057e-04 4.925437067790409962e-03
3.116390000000000000e+05 1.791323811799439133e-03 3.460116969178955357e-04 3.814516324652583463e-03
1.237659000000000000e+06 8.988754058705747136e-04 1.741455305990553142e-04 1.997510513623836689e-03
