ndof h rel-L2-err-B rel-H1sem-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.556799999614501440e+00 1.287324877165976877e+00
1.522000000000000000e+03 2.563260079255080121e-02 1.098185932816175159e+00 9.330090174433279815e-01
5.646000000000000000e+03 1.330851391722932993e-02 2.972089396236324288e-01 5.158423764016161206e-01
2.166000000000000000e+04 6.794707624925292594e-03 8.537866616517239549e-02 2.546113722497671539e-01
8.478800000000000000e+04 3.434257097203127513e-03 2.641064654233789277e-02 1.300105528272100519e-01
3.354590000000000000e+05 1.726554437407940750e-03 7.921921175087122055e-03 6.563990994878744767e-02
1.334467000000000000e+06 8.656574693452302521e-04 2.393794012464342362e-03 3.303022247250308324e-02
