ndof h rel-L2-err-B rel-H1sem-err-B
1.475000000000000000e+03 2.603778219616477430e-02 6.923960579235796331e+00 2.156315016971453336e+00
5.365000000000000000e+03 1.365259278824230114e-02 5.523114833963645998e-01 6.430264440674200443e-01
2.031500000000000000e+04 7.016032411899479106e-03 2.226937335760304504e-01 3.276979791257782493e-01
7.901100000000000000e+04 3.557592662943439340e-03 1.496441292336344875e-01 1.068260681890154384e-01
3.116390000000000000e+05 1.791323811799439133e-03 9.676820292972916626e-02 4.397565383292992985e-02
1.237659000000000000e+06 8.988754058705747136e-04 3.235725259915024632e-02 1.406214443504950375e-02
