ndof h rel-L2-err-B rel-H1sem-err-B
3.188000000000000000e+03 1.771090867439536337e-02 9.762666199426546162e-03 1.248492890142885448e-01
1.176800000000000000e+04 9.218253992060242152e-03 6.175014521561559937e-03 6.778578090383090282e-02
4.494200000000000000e+04 4.717086087988753111e-03 1.782663149217424744e-03 2.424128229271917817e-02
1.756550000000000000e+05 2.385996167639893323e-03 2.890622698928899158e-04 4.164532199395714653e-03
6.946460000000000000e+05 1.199825893898499559e-03 9.189861361454182084e-05 1.578105760295547225e-03
