ndof h rel-L2-err-B
4.320000000000000000e+02 4.811252243246881555e-02 1.644762365418334982e+00
1.522000000000000000e+03 2.563260079255080121e-02 1.098165863447551294e+00
5.646000000000000000e+03 1.330851391722932993e-02 2.941981435319416804e-01
2.165800000000000000e+04 6.795021345064201218e-03 9.735790172123982844e-02
8.478700000000000000e+04 3.434277349405535223e-03 1.055600697139106176e-01
3.354500000000000000e+05 1.726577598662541822e-03 1.290513957586419125e-01
1.334456000000000000e+06 8.656610371708234851e-04 1.422793926922487906e-01
