ndof h rel-L2-err-B rel-H1s-err-B
4.001400000000000000e+04 2.923676682386673609e-02 7.450139225304480695e-01 8.805049712131013395e-01
3.116420000000000000e+05 1.474963723560234440e-02 4.087564000440083722e-01 5.096691780942530503e-01
2.463026000000000000e+06 7.404748877278614395e-03 2.004000792513552787e-01 2.272547997741886372e-01
