ndof h rel-L2-err-B rel-H1sem-err-B
3.410000000000000000e+03 1.712469363126854424e-02 6.327217394498352299e-01 8.388424887988220613e-01
1.272200000000000000e+04 8.865889300168856846e-03 1.711178746801119699e-01 2.258820438071532377e-01
4.884200000000000000e+04 4.524840555912091125e-03 2.549689795939964407e-02 4.044278179240087812e-02
1.909940000000000000e+05 2.288179750059707480e-03 7.175845835663979128e-03 8.536395237949951850e-03
7.552430000000000000e+05 1.150685513651516102e-03 1.719910699672056896e-03 1.769862203667001751e-03
