ndof h rel-L2-err-B rel-H1sem-err-B
3.188000000000000000e+03 1.771090867439536337e-02 6.496010007062830161e-01 8.294664783251941564e-01
1.176800000000000000e+04 9.218253992060242152e-03 3.623438302601863503e-01 4.280142374340427658e-01
4.494200000000000000e+04 4.717086087988753111e-03 1.388072853390713846e-01 1.422190516379438219e-01
1.756550000000000000e+05 2.385996167639893323e-03 3.665759979674905467e-02 5.471260953526452253e-02
6.946460000000000000e+05 1.199825893898499559e-03 2.921745050721748227e-02 3.707728659699364993e-02
