ndof h rel-L2-err-B rel-H1sem-err-B
4.090000000000000000e+02 4.944681764341487401e-02 2.121059928226069202e-01 6.825978345831895666e-01
1.421000000000000000e+03 2.652790545386455104e-02 9.912680963123454703e-02 4.331408676394956636e-01
5.237000000000000000e+03 1.381843032375835480e-02 5.825701145720673518e-02 2.197143960141901275e-01
2.006600000000000000e+04 7.059429347267390936e-03 5.006948290880454400e-02 1.084655754645015707e-01
7.853700000000000000e+04 3.568312210489230779e-03 4.486919663028940408e-02 6.075250377198868068e-02
3.106660000000000000e+05 1.794126814821948249e-03 3.170659696067654187e-02 3.601002785461632910e-02
1.235731000000000000e+06 8.995763498203129295e-04 1.552920341594283930e-02 1.795534810709695922e-02
