ndof h rel-L2-err-B rel-H1sem-err-B
4.140000000000000000e+02 4.914731871829904064e-02 7.980692899797889872e+00 2.260852572191292431e+00
1.466000000000000000e+03 2.611758488277850926e-02 1.740921188337781311e+00 2.467811874357375146e+00
5.402000000000000000e+03 1.360575699741796256e-02 7.052654845993310273e-01 1.615092139577823493e+00
2.072600000000000000e+04 6.946119540217280362e-03 1.729881718140468538e-01 5.449205627458106882e-01
8.112200000000000000e+04 3.510998754013472303e-03 3.470537802155045093e-02 2.438717651725984814e-01
3.209660000000000000e+05 1.765104755589006055e-03 1.316477165191993863e-02 1.198153278357835944e-01
1.276802000000000000e+06 8.849897136252158659e-04 8.261557098778021455e-03 6.020431073736604022e-02
