ndof h rel-L2-err-B rel-H1sem-err-B
3.200000000000000000e+03 1.767766952966368793e-02 1.017623253845625214e-02 2.668294635301723602e-02
1.183400000000000000e+04 9.192512255178241290e-03 5.865992913534781236e-03 1.003806225076083261e-02
4.523600000000000000e+04 4.701732343299729923e-03 1.978679057664174332e-03 3.618036209643587034e-03
1.768370000000000000e+05 2.378008653698624776e-03 3.066254702285920526e-04 6.514653659279179016e-04
6.993080000000000000e+05 1.195819832146907897e-03 4.716899703455928338e-05 1.469349138373949833e-04
