ndof h rel-L2-err-B rel-H1sem-err-B
4.090000000000000000e+02 4.944681764341487401e-02 4.960706828822401881e+00 5.070957134784811693e+00
1.421000000000000000e+03 2.652790545386455104e-02 1.477538125110720912e+00 1.547662786997120010e+00
5.237000000000000000e+03 1.381843032375835480e-02 4.154224217310839573e-01 5.960746862170790417e-01
2.006600000000000000e+04 7.059429347267390936e-03 4.560927360038942169e-01 5.799326757215439443e-01
7.853700000000000000e+04 3.568312210489230779e-03 3.225329661085935551e-01 4.045839747025087862e-01
3.106660000000000000e+05 1.794126814821948249e-03 2.094316670192361840e-01 2.578828161226274229e-01
1.235731000000000000e+06 8.995763498203129295e-04 9.263268342037740688e-02 1.151151441693807620e-01
