ndof h rel-L2-err-B rel-H1sem-err-B
4.140000000000000000e+02 4.914731871829904064e-02 3.103254032730272893e+00 2.089968746077232709e+00
1.466000000000000000e+03 2.611758488277850926e-02 1.482955366150252363e+00 2.343327391501621282e+00
5.402000000000000000e+03 1.360575699741796256e-02 4.791178736075094591e-01 1.640664457762867290e+00
2.072600000000000000e+04 6.946119540217280362e-03 1.105588785393277901e-01 5.463797944574736443e-01
8.112200000000000000e+04 3.510998754013472303e-03 2.276164867690758098e-02 2.444776779967953451e-01
3.209660000000000000e+05 1.765104755589006055e-03 5.982213465208906233e-03 1.196525297993334402e-01
1.276802000000000000e+06 8.849897136252158659e-04 2.470508981548923035e-03 5.980096100485510907e-02
