ndof h rel-L2-err-B rel-H1sem-err-B
1.475000000000000000e+03 2.603778219616477430e-02 1.844237156995463200e+00 1.821530451978152554e+00
5.365000000000000000e+03 1.365259278824230114e-02 2.980242898926925843e-01 4.057242440089712243e-01
2.031500000000000000e+04 7.016032411899479106e-03 3.422456033039165124e-01 3.872834120578134698e-01
7.901100000000000000e+04 3.557592662943439340e-03 2.311036007279138327e-01 2.742213523473868708e-01
3.116390000000000000e+05 1.791323811799439133e-03 1.797725007506162098e-01 2.110829312902245125e-01
1.237659000000000000e+06 8.988754058705747136e-04 1.220183856651281817e-01 1.429229112406185387e-01
