ndof h rel-L2-err-B rel-H1sem-err-B
1.475000000000000000e+03 2.603778219616477430e-02 2.134776015076679911e+00 1.634273508851828316e+00
5.365000000000000000e+03 1.365259278824230114e-02 2.810815629165033802e-01 4.534998192403767447e-01
2.031500000000000000e+04 7.016032411899479106e-03 2.753696152831609512e-01 3.126969550598829306e-01
7.901100000000000000e+04 3.557592662943439340e-03 1.588392611795453324e-01 1.610546984552834737e-01
3.116390000000000000e+05 1.791323811799439133e-03 5.843793998902017256e-02 6.095738557420491560e-02
1.237659000000000000e+06 8.988754058705747136e-04 3.810232068713070158e-02 3.897363931487583116e-02
