ndof h rel-L2-err-B rel-H1sem-err-B
3.410000000000000000e+03 1.712469363126854424e-02 5.851436057100410926e-01 8.335903600794575263e-01
1.272200000000000000e+04 8.865889300168856846e-03 1.533513023836061973e-01 2.151271044935026966e-01
4.884200000000000000e+04 4.524840555912091125e-03 1.230864573705751225e-02 3.507042480919077970e-02
1.909940000000000000e+05 2.288179750059707480e-03 1.632347553196796452e-03 5.766029924211062488e-03
7.552430000000000000e+05 1.150685513651516102e-03 1.743126822009834014e-04 8.620917926706464030e-04
